src_link,description,Micrograph_Number,micrometer_values
https://www.doitpoms.ac.uk/miclib//images/tpl/uoc-logo.jpg,,,
https://www.doitpoms.ac.uk/miclib/micrographs/small/000001.jpg,"Micrograph
1: 
Al 75, Cu 25 (wt%), hypoeutectic alloySystem: 
Al-Cu, 
Composition: 
Al 75, Cu 25 (wt%)Reflected light microscopy40 μm","Micrograph
1",40 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000003.jpg,"Micrograph
3: 
Al 67, Cu 33 (wt%), eutectic alloySystem: 
Al-Cu, 
Composition: 
Al 67, Cu 33 (wt%)Reflected light microscopy80 μm","Micrograph
3",80 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000005.jpg,"Micrograph
5: 
Al 64, Cu 36 (wt%), hypereutectic alloySystem: 
Al-Cu, 
Composition: 
Al 64, Cu 36 (wt%)Reflected light microscopy400 μm","Micrograph
5",400 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000006.jpg,"Micrograph
6: 
Bi 60, Cd 40 (wt%), eutectic alloySystem: 
Bi-Cd, 
Composition: 
Bi 60, Cd 40 (wt%)Reflected light microscopy200 μm","Micrograph
6",200 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000007.jpg,"Micrograph
7: 
Bi 60, Cd 40 (wt%), eutectic alloySystem: 
Bi-Cd, 
Composition: 
Bi 60, Cd 40 (wt%)Reflected light microscopy40 μm","Micrograph
7",40 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000008.jpg,"Micrograph
8: 
Bi 80, Cd 20 (wt%), hypereutectic alloySystem: 
Bi-Cd, 
Composition: 
Bi 80, Cd 20 (wt%)Reflected light microscopy400 μm","Micrograph
8",400 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000009.jpg,"Micrograph
9: 
Bi 80, Cd 20 (wt%), hypereutectic alloySystem: 
Bi-Cd, 
Composition: 
Bi 80, Cd 20 (wt%)Reflected light microscopy80 μm","Micrograph
9",80 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000010.jpg,"Micrograph
10: 
Cu 70, Ni 30 (wt%), cored dendritesSystem: 
Cu-Ni, 
Composition: 
Cu 70, Ni 30 (wt%)Reflected light microscopy400 μm","Micrograph
10",400 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000011.jpg,"Micrograph
11: 
Cu 70, Ni 30 (wt%), cored dendritesSystem: 
Cu-Ni, 
Composition: 
Cu 70, Ni 30 (wt%)Reflected light microscopy80 μm","Micrograph
11",80 µm
